# spack find --format "{name},{version},{compiler},{variants},{arch}"
libmonitor,2021.04.27,gcc@10.3.0,~commrank~dlopen+hpctoolkit,cray-sles15-zen2
libpciaccess,0.16,cce@12.0.0,,cray-sles15-zen2
libpciaccess,0.16,cce@12.0.1,,cray-sles15-zen2
libpciaccess,0.16,gcc@7.5.0,,linux-sles15-x86_64
libpciaccess,0.16,gcc@10.2.0,,cray-sles15-zen2
libpciaccess,0.16,gcc@10.3.0,,cray-sles15-zen2
libpng,1.2.57,gcc@7.5.0,,linux-sles15-x86_64
libpng,1.6.37,cce@12.0.0,,cray-sles15-zen2
libpng,1.6.37,cce@12.0.1,,cray-sles15-zen2
libpng,1.6.37,gcc@7.5.0,,linux-sles15-x86_64
libpng,1.6.37,gcc@10.2.0,,cray-sles15-zen2
libpng,1.6.37,gcc@10.3.0,,cray-sles15-zen2
libpthread-stubs,0.4,gcc@7.5.0,,linux-sles15-x86_64
libquo,1.3.1,cce@12.0.0,,cray-sles15-zen2
libquo,1.3.1,cce@12.0.1,,cray-sles15-zen2
libquo,1.3.1,gcc@10.2.0,,cray-sles15-zen2
libquo,1.3.1,gcc@10.3.0,,cray-sles15-zen2
librsvg,2.51.0,gcc@7.5.0,,linux-sles15-x86_64
libsigsegv,2.13,cce@12.0.0,,cray-sles15-zen2
libsigsegv,2.13,cce@12.0.1,,cray-sles15-zen2
libsigsegv,2.13,gcc@7.5.0,,linux-sles15-x86_64
libsigsegv,2.13,gcc@10.2.0,,cray-sles15-zen2
libsigsegv,2.13,gcc@10.3.0,,cray-sles15-zen2
libsm,1.2.3,gcc@7.5.0,,linux-sles15-x86_64
libsodium,1.0.18,gcc@7.5.0,,linux-sles15-x86_64
libssh2,1.8.0,gcc@7.5.0,~ipo+shared build_type=RelWithDebInfo,linux-sles15-x86_64
libtiff,4.1.0,gcc@7.5.0,,linux-sles15-x86_64
libtool,2.4.6,cce@12.0.0,,cray-sles15-zen2
libtool,2.4.6,cce@12.0.1,,cray-sles15-zen2
libtool,2.4.6,gcc@7.5.0,,linux-sles15-x86_64
libtool,2.4.6,gcc@10.2.0,,cray-sles15-zen2
libtool,2.4.6,gcc@10.3.0,,cray-sles15-zen2
libunistring,0.9.10,cce@12.0.0,,cray-sles15-zen2
libunistring,0.9.10,cce@12.0.1,,cray-sles15-zen2
libunistring,0.9.10,gcc@7.5.0,,linux-sles15-x86_64
libunistring,0.9.10,gcc@10.2.0,,cray-sles15-zen2
libunistring,0.9.10,gcc@10.3.0,,cray-sles15-zen2
libunwind,1.5.0,cce@12.0.0,~pic~xz~zlib,cray-sles15-zen2
libunwind,1.5.0,cce@12.0.1,~pic~xz~zlib,cray-sles15-zen2
libunwind,1.5.0,gcc@10.2.0,~pic~xz~zlib,cray-sles15-zen2
libunwind,1.5.0,gcc@10.3.0,~pic~xz~zlib,cray-sles15-zen2
libunwind,1.5.0,gcc@10.2.0,+pic+xz~zlib,cray-sles15-zen2
libunwind,1.5.0,gcc@10.3.0,+pic+xz~zlib,cray-sles15-zen2
libx11,1.7.0,gcc@7.5.0,,linux-sles15-x86_64
libxau,1.0.8,gcc@7.5.0,,linux-sles15-x86_64
libxcb,1.14,gcc@7.5.0,,linux-sles15-x86_64
libxdmcp,1.1.2,gcc@7.5.0,,linux-sles15-x86_64
libxext,1.3.3,gcc@7.5.0,,linux-sles15-x86_64
libxfixes,5.0.2,gcc@7.5.0,,linux-sles15-x86_64
libxfont,1.5.2,gcc@7.5.0,,linux-sles15-x86_64
libxft,2.3.2,gcc@7.5.0,,linux-sles15-x86_64
libxi,1.7.6,gcc@7.5.0,,linux-sles15-x86_64
libxkbcommon,0.8.2,gcc@7.5.0,,linux-sles15-x86_64
libxkbfile,1.0.9,gcc@7.5.0,,linux-sles15-x86_64
libxml2,2.9.10,cce@12.0.0,~python,cray-sles15-zen2
libxml2,2.9.10,cce@12.0.1,~python,cray-sles15-zen2
libxml2,2.9.10,gcc@7.5.0,~python,linux-sles15-x86_64
libxml2,2.9.10,gcc@10.2.0,~python,cray-sles15-zen2
libxml2,2.9.10,gcc@10.2.0,~python,cray-sles15-zen2
libxml2,2.9.10,gcc@10.3.0,~python,cray-sles15-zen2
libxml2,2.9.10,gcc@10.3.0,~python,cray-sles15-zen2
libxpm,3.5.12,gcc@7.5.0,,linux-sles15-x86_64
libxrandr,1.5.0,gcc@7.5.0,,linux-sles15-x86_64
libxrender,0.9.10,gcc@7.5.0,,linux-sles15-x86_64
libxslt,1.1.33,gcc@7.5.0,+crypto~python,linux-sles15-x86_64
libxt,1.1.5,gcc@7.5.0,,linux-sles15-x86_64
libxtst,1.2.2,gcc@7.5.0,,linux-sles15-x86_64
libzmq,4.3.3,gcc@7.5.0,~drafts+libsodium,linux-sles15-x86_64
llvm,12.0.0,gcc@7.5.0,~all_targets+clang~code_signing+compiler-rt~cuda~flang+gold+internal_unwind~ipo+libcxx+lld+lldb~llvm_dylib~mlir~omp_debug~omp_tsan+polly~python~shared_libs~split_dwarf build_type=Release cuda_arch=none,linux-sles15-x86_64
llvm-amdgpu,4.2.0,cce@12.0.0,~ipo+openmp build_type=Release patches=d999f3b235e655ee07f6dd2590302082feaa06d32c5c6b53aae9c5cf1e45b644,cray-sles15-zen2
llvm-amdgpu,4.2.0,cce@12.0.1,~ipo+openmp build_type=Release patches=d999f3b235e655ee07f6dd2590302082feaa06d32c5c6b53aae9c5cf1e45b644,cray-sles15-zen2
llvm-amdgpu,4.3.0,gcc@10.2.0,~ipo+openmp build_type=Release,cray-sles15-zen2
llvm-amdgpu,4.3.0,gcc@10.3.0,~ipo+openmp build_type=Release,cray-sles15-zen2
lz4,1.9.3,cce@12.0.0, libs=shared,static,cray-sles15-zen2
lz4,1.9.3,cce@12.0.1, libs=shared,static,cray-sles15-zen2
lz4,1.9.3,gcc@7.5.0, libs=shared,static,linux-sles15-x86_64
lz4,1.9.3,gcc@10.2.0, libs=shared,static,cray-sles15-zen2
lz4,1.9.3,gcc@10.3.0, libs=shared,static,cray-sles15-zen2
m4,1.4.18,cce@12.0.0,+sigsegv patches=3877ab548f88597ab2327a2230ee048d2d07ace1062efe81fc92e91b7f39cd00,fc9b61654a3ba1a8d6cd78ce087e7c96366c290bc8d2c299f09828d793b853c8,cray-sles15-zen2
m4,1.4.18,cce@12.0.1,+sigsegv patches=3877ab548f88597ab2327a2230ee048d2d07ace1062efe81fc92e91b7f39cd00,fc9b61654a3ba1a8d6cd78ce087e7c96366c290bc8d2c299f09828d793b853c8,cray-sles15-zen2
m4,1.4.18,gcc@7.5.0,+sigsegv patches=3877ab548f88597ab2327a2230ee048d2d07ace1062efe81fc92e91b7f39cd00,fc9b61654a3ba1a8d6cd78ce087e7c96366c290bc8d2c299f09828d793b853c8,linux-sles15-x86_64
m4,1.4.18,gcc@10.2.0,+sigsegv patches=3877ab548f88597ab2327a2230ee048d2d07ace1062efe81fc92e91b7f39cd00,fc9b61654a3ba1a8d6cd78ce087e7c96366c290bc8d2c299f09828d793b853c8,cray-sles15-zen2
m4,1.4.18,gcc@10.3.0,+sigsegv patches=3877ab548f88597ab2327a2230ee048d2d07ace1062efe81fc92e91b7f39cd00,fc9b61654a3ba1a8d6cd78ce087e7c96366c290bc8d2c299f09828d793b853c8,cray-sles15-zen2
magma,2.6.1,cce@12.0.0,~cuda+fortran~ipo+rocm+shared amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
magma,2.6.1,cce@12.0.1,~cuda+fortran~ipo+rocm+shared amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
magma,2.6.1,gcc@10.2.0,~cuda+fortran~ipo+rocm+shared amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
magma,2.6.1,gcc@10.3.0,~cuda+fortran~ipo+rocm+shared amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
matio,1.5.17,cce@12.0.0,+hdf5+shared+zlib,cray-sles15-zen2
matio,1.5.17,cce@12.0.1,+hdf5+shared+zlib,cray-sles15-zen2
matio,1.5.17,gcc@10.2.0,+hdf5+shared+zlib,cray-sles15-zen2
matio,1.5.17,gcc@10.3.0,+hdf5+shared+zlib,cray-sles15-zen2
mbedtls,2.16.9,gcc@10.2.0,~ipo+pic build_type=Release,cray-sles15-zen2
mbedtls,2.16.9,gcc@10.3.0,~ipo+pic build_type=Release,cray-sles15-zen2
mercurial,5.8,gcc@7.5.0,,linux-sles15-x86_64
mercury,2.0.1,cce@12.0.0,~bmi+boostsys~cci+checksum~debug~ipo~mpi+ofi+shared+sm~udreg build_type=RelWithDebInfo,cray-sles15-zen2
mercury,2.0.1,cce@12.0.1,~bmi+boostsys~cci+checksum~debug~ipo~mpi+ofi+shared+sm~udreg build_type=RelWithDebInfo,cray-sles15-zen2
mercury,2.0.1,gcc@10.2.0,~bmi+boostsys~cci+checksum~debug~ipo~mpi+ofi+shared+sm~udreg build_type=RelWithDebInfo,cray-sles15-zen2
mercury,2.0.1,gcc@10.3.0,~bmi+boostsys~cci+checksum~debug~ipo~mpi+ofi+shared+sm~udreg build_type=RelWithDebInfo,cray-sles15-zen2
mesa,21.0.3,gcc@7.5.0,+glx+llvm+opengl~opengles+osmesa~strip buildtype=debugoptimized default_library=shared patches=36096a178070e40217945e12d542dfe80016cb897284a01114d616656c577d73 swr=auto,linux-sles15-x86_64
meson,0.58.0,gcc@7.5.0, patches=aa6c50d5a2aeb1a487d16f6712be4357fefb923aae37ab830699b07338388287,linux-sles15-x86_64
metis,5.1.0,cce@12.0.0,~gdb~int64~real64+shared build_type=Release patches=4991da938c1d3a1d3dea78e49bbebecba00273f98df2a656e38b83d55b281da1,cray-sles15-zen2
metis,5.1.0,cce@12.0.1,~gdb~int64~real64+shared build_type=Release patches=4991da938c1d3a1d3dea78e49bbebecba00273f98df2a656e38b83d55b281da1,cray-sles15-zen2
metis,5.1.0,gcc@10.2.0,~gdb~int64~real64+shared build_type=Release patches=4991da938c1d3a1d3dea78e49bbebecba00273f98df2a656e38b83d55b281da1,b1225da886605ea558db7ac08dd8054742ea5afe5ed61ad4d0fe7a495b1270d2,cray-sles15-zen2
metis,5.1.0,gcc@10.3.0,~gdb~int64~real64+shared build_type=Release patches=4991da938c1d3a1d3dea78e49bbebecba00273f98df2a656e38b83d55b281da1,b1225da886605ea558db7ac08dd8054742ea5afe5ed61ad4d0fe7a495b1270d2,cray-sles15-zen2
mfem,4.2.0,cce@12.0.0,~amgx~conduit~cuda~debug~examples~gnutls~gslib~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~shared+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib cuda_arch=sm_60 timer=auto,cray-sles15-zen2
mfem,4.2.0,cce@12.0.1,~amgx~conduit~cuda~debug~examples~gnutls~gslib~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~shared+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib cuda_arch=sm_60 timer=auto,cray-sles15-zen2
mfem,4.2.0,gcc@10.2.0,~amgx~conduit~cuda~debug~examples~gnutls~gslib~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~shared+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib cuda_arch=sm_60 timer=auto,cray-sles15-zen2
mfem,4.2.0,gcc@10.3.0,~amgx~conduit~cuda~debug~examples~gnutls~gslib~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~shared+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib cuda_arch=sm_60 timer=auto,cray-sles15-zen2
mkfontdir,1.0.7,gcc@7.5.0,,linux-sles15-x86_64
mkfontscale,1.1.2,gcc@7.5.0,,linux-sles15-x86_64
mpark-variant,1.4.0,cce@12.0.0,~ipo build_type=RelWithDebInfo patches=21a4f8de3525204ee6db2e53758a3e3fd9c13817df29d2926d24376858a369e7,4e173fe8c853eb92956a40371688b4a19498189fe65b7ceac30f6b9d6663a985,b3501f726fd40129b4aaa11453a5891c8953a34af8ac84f5ab10a22afa5e7b9b,cray-sles15-zen2
mpark-variant,1.4.0,cce@12.0.1,~ipo build_type=RelWithDebInfo patches=21a4f8de3525204ee6db2e53758a3e3fd9c13817df29d2926d24376858a369e7,4e173fe8c853eb92956a40371688b4a19498189fe65b7ceac30f6b9d6663a985,b3501f726fd40129b4aaa11453a5891c8953a34af8ac84f5ab10a22afa5e7b9b,cray-sles15-zen2
mpark-variant,1.4.0,gcc@10.2.0,~ipo build_type=RelWithDebInfo patches=21a4f8de3525204ee6db2e53758a3e3fd9c13817df29d2926d24376858a369e7,4e173fe8c853eb92956a40371688b4a19498189fe65b7ceac30f6b9d6663a985,b3501f726fd40129b4aaa11453a5891c8953a34af8ac84f5ab10a22afa5e7b9b,cray-sles15-zen2
mpark-variant,1.4.0,gcc@10.3.0,~ipo build_type=RelWithDebInfo patches=21a4f8de3525204ee6db2e53758a3e3fd9c13817df29d2926d24376858a369e7,4e173fe8c853eb92956a40371688b4a19498189fe65b7ceac30f6b9d6663a985,b3501f726fd40129b4aaa11453a5891c8953a34af8ac84f5ab10a22afa5e7b9b,cray-sles15-zen2
mpfr,4.1.0,cce@12.0.0,,cray-sles15-zen2
mpfr,4.1.0,cce@12.0.1,,cray-sles15-zen2
mpfr,4.1.0,gcc@7.5.0,,linux-sles15-x86_64
mpfr,4.1.0,gcc@10.2.0,,cray-sles15-zen2
mpfr,4.1.0,gcc@10.3.0,,cray-sles15-zen2
mumps,5.4.0,cce@12.0.0,~blr_mt+complex+double+float~int64~metis+mpi+openmp~parmetis~ptscotch~scotch+shared patches=1946864d2106f7414aaa4dbd4dbc068b7804af7c1588381e814b268a56140a52,cray-sles15-zen2
mumps,5.4.0,cce@12.0.1,~blr_mt+complex+double+float~int64~metis+mpi+openmp~parmetis~ptscotch~scotch+shared patches=1946864d2106f7414aaa4dbd4dbc068b7804af7c1588381e814b268a56140a52,cray-sles15-zen2
mumps,5.4.0,gcc@10.2.0,~blr_mt+complex+double+float~int64~metis+mpi+openmp~parmetis~ptscotch~scotch+shared patches=1946864d2106f7414aaa4dbd4dbc068b7804af7c1588381e814b268a56140a52,cray-sles15-zen2
mumps,5.4.0,gcc@10.3.0,~blr_mt+complex+double+float~int64~metis+mpi+openmp~parmetis~ptscotch~scotch+shared patches=1946864d2106f7414aaa4dbd4dbc068b7804af7c1588381e814b268a56140a52,cray-sles15-zen2
nano,4.9,gcc@7.5.0,,linux-sles15-x86_64
nasm,2.15.05,gcc@7.5.0,,linux-sles15-x86_64
ncurses,6.2,cce@12.0.0,~symlinks+termlib abi=none,cray-sles15-zen2
ncurses,6.2,cce@12.0.1,~symlinks+termlib abi=none,cray-sles15-zen2
ncurses,6.2,gcc@7.5.0,~symlinks+termlib abi=none,linux-sles15-x86_64
ncurses,6.2,gcc@10.2.0,~symlinks+termlib abi=none,cray-sles15-zen2
ncurses,6.2,gcc@10.3.0,~symlinks+termlib abi=none,cray-sles15-zen2
netcdf-c,4.8.0,cce@12.0.0,~dap~fsync~hdf4~jna+mpi+parallel-netcdf+pic+shared,cray-sles15-zen2
netcdf-c,4.8.0,cce@12.0.1,~dap~fsync~hdf4~jna+mpi+parallel-netcdf+pic+shared,cray-sles15-zen2
netcdf-c,4.8.0,gcc@10.2.0,~dap~fsync~hdf4~jna+mpi+parallel-netcdf+pic+shared,cray-sles15-zen2
netcdf-c,4.8.0,gcc@10.3.0,~dap~fsync~hdf4~jna+mpi+parallel-netcdf+pic+shared,cray-sles15-zen2
netlib-scalapack,2.1.0,gcc@10.2.0,~ipo~pic+shared build_type=Release patches=1c9ce5fee1451a08c2de3cc87f446aeda0b818ebbce4ad0d980ddf2f2a0b2dc4,f2baedde688ffe4c20943c334f580eb298e04d6f35c86b90a1f4e8cb7ae344a2,cray-sles15-zen2
netlib-scalapack,2.1.0,gcc@10.3.0,~ipo~pic+shared build_type=Release patches=1c9ce5fee1451a08c2de3cc87f446aeda0b818ebbce4ad0d980ddf2f2a0b2dc4,f2baedde688ffe4c20943c334f580eb298e04d6f35c86b90a1f4e8cb7ae344a2,cray-sles15-zen2
ninja,1.10.2,cce@12.0.0,,cray-sles15-zen2
ninja,1.10.2,cce@12.0.1,,cray-sles15-zen2
ninja,1.10.2,gcc@7.5.0,,linux-sles15-x86_64
ninja,1.10.2,gcc@10.2.0,,cray-sles15-zen2
ninja,1.10.2,gcc@10.3.0,,cray-sles15-zen2
nlohmann-json,3.9.1,cce@12.0.0,~ipo+single_header build_type=RelWithDebInfo,cray-sles15-zen2
nlohmann-json,3.9.1,cce@12.0.1,~ipo+single_header build_type=RelWithDebInfo,cray-sles15-zen2
nlohmann-json,3.9.1,gcc@10.2.0,~ipo+single_header build_type=RelWithDebInfo,cray-sles15-zen2
nlohmann-json,3.9.1,gcc@10.3.0,~ipo+single_header build_type=RelWithDebInfo,cray-sles15-zen2
npth,1.6,gcc@7.5.0,,linux-sles15-x86_64
numactl,2.0.14,cce@12.0.0, patches=4e1d78cbbb85de625bad28705e748856033eaafab92a66dffd383a3d7e00cc94,62fc8a8bf7665a60e8f4c93ebbd535647cebf74198f7afafec4c085a8825c006,cray-sles15-zen2
numactl,2.0.14,cce@12.0.1, patches=4e1d78cbbb85de625bad28705e748856033eaafab92a66dffd383a3d7e00cc94,62fc8a8bf7665a60e8f4c93ebbd535647cebf74198f7afafec4c085a8825c006,cray-sles15-zen2
numactl,2.0.14,gcc@10.2.0, patches=4e1d78cbbb85de625bad28705e748856033eaafab92a66dffd383a3d7e00cc94,62fc8a8bf7665a60e8f4c93ebbd535647cebf74198f7afafec4c085a8825c006,cray-sles15-zen2
numactl,2.0.14,gcc@10.3.0, patches=4e1d78cbbb85de625bad28705e748856033eaafab92a66dffd383a3d7e00cc94,62fc8a8bf7665a60e8f4c93ebbd535647cebf74198f7afafec4c085a8825c006,cray-sles15-zen2
omega-h,9.32.5,cce@12.0.0,~examples~ipo+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_type=RelWithDebInfo,cray-sles15-zen2
omega-h,9.32.5,cce@12.0.1,~examples~ipo+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_type=RelWithDebInfo,cray-sles15-zen2
omega-h,9.32.5,gcc@10.2.0,~examples~ipo+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_type=RelWithDebInfo,cray-sles15-zen2
omega-h,9.32.5,gcc@10.3.0,~examples~ipo+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_type=RelWithDebInfo,cray-sles15-zen2
openblas,0.3.15,gcc@10.2.0,~bignuma~consistent_fpcsr~ilp64+locking+pic+shared threads=none,cray-sles15-zen2
openblas,0.3.15,gcc@10.3.0,~bignuma~consistent_fpcsr~ilp64+locking+pic+shared threads=none,cray-sles15-zen2
openjdk,11.0.8_10,cce@12.0.0,,cray-sles15-zen2
openjdk,11.0.8_10,cce@12.0.1,,cray-sles15-zen2
openjdk,11.0.8_10,gcc@10.2.0,,cray-sles15-zen2
openjdk,11.0.8_10,gcc@10.3.0,,cray-sles15-zen2
openpmd-api,0.13.4,cce@12.0.0,~adios1+adios2+hdf5~ipo+mpi~python+shared build_type=RelWithDebInfo,cray-sles15-zen2
openpmd-api,0.13.4,cce@12.0.1,~adios1+adios2+hdf5~ipo+mpi~python+shared build_type=RelWithDebInfo,cray-sles15-zen2
openpmd-api,0.13.4,gcc@10.2.0,~adios1+adios2+hdf5~ipo+mpi~python+shared build_type=RelWithDebInfo,cray-sles15-zen2
openpmd-api,0.13.4,gcc@10.3.0,~adios1+adios2+hdf5~ipo+mpi~python+shared build_type=RelWithDebInfo,cray-sles15-zen2
openssh,8.5p1,cce@12.0.0,,cray-sles15-zen2
openssh,8.5p1,cce@12.0.1,,cray-sles15-zen2
openssh,8.5p1,gcc@7.5.0,,linux-sles15-x86_64
openssh,8.5p1,gcc@10.2.0,,cray-sles15-zen2
openssh,8.5p1,gcc@10.3.0,,cray-sles15-zen2
openssl,1.1.1,cce@12.0.0,~docs+systemcerts,cray-sles15-zen2
openssl,1.1.1,cce@12.0.1,~docs+systemcerts,cray-sles15-zen2
openssl,1.1.1,gcc@7.5.0,~docs+systemcerts,linux-sles15-x86_64
openssl,1.1.1,gcc@10.2.0,~docs+systemcerts,cray-sles15-zen2
openssl,1.1.1,gcc@10.3.0,~docs+systemcerts,cray-sles15-zen2
pango,1.41.0,gcc@7.5.0,~X,linux-sles15-x86_64
pango,1.41.0,gcc@7.5.0,+X,linux-sles15-x86_64
papi,6.0.0.1,cce@12.0.0,~cuda+example~infiniband~lmsensors~nvml~powercap~rapl~sde+shared~static_tools patches=b6d6caa8c66a6495a24f32ba444e46f61e85083146dfa73ee3c8cf91fcfb4458,cray-sles15-zen2
papi,6.0.0.1,cce@12.0.1,~cuda+example~infiniband~lmsensors~nvml~powercap~rapl~sde+shared~static_tools patches=b6d6caa8c66a6495a24f32ba444e46f61e85083146dfa73ee3c8cf91fcfb4458,cray-sles15-zen2
papi,6.0.0.1,gcc@7.5.0,~cuda+example~infiniband~lmsensors~nvml~powercap~rapl~sde+shared~static_tools,linux-sles15-x86_64
papi,6.0.0.1,gcc@10.2.0,~cuda+example~infiniband~lmsensors~nvml~powercap~rapl~sde+shared~static_tools,cray-sles15-zen2
papi,6.0.0.1,gcc@10.3.0,~cuda+example~infiniband~lmsensors~nvml~powercap~rapl~sde+shared~static_tools,cray-sles15-zen2
papyrus,1.0.1,cce@12.0.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
papyrus,1.0.1,cce@12.0.1,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
papyrus,1.0.1,gcc@10.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
papyrus,1.0.1,gcc@10.3.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
parallel-netcdf,1.12.2,cce@12.0.0,~burstbuffer+cxx+fortran+pic+shared,cray-sles15-zen2
parallel-netcdf,1.12.2,cce@12.0.1,~burstbuffer+cxx+fortran+pic+shared,cray-sles15-zen2
parallel-netcdf,1.12.2,gcc@10.2.0,~burstbuffer+cxx+fortran+pic+shared,cray-sles15-zen2
parallel-netcdf,1.12.2,gcc@10.3.0,~burstbuffer+cxx+fortran+pic+shared,cray-sles15-zen2
parmetis,4.0.3,cce@12.0.0,~gdb~int64~ipo+shared build_type=RelWithDebInfo patches=4f892531eb0a807eb1b82e683a416d3e35154a455274cf9b162fb02054d11a5b,50ed2081bc939269689789942067c58b3e522c269269a430d5d34c00edbc5870,704b84f7c7444d4372cb59cca6e1209df4ef3b033bc4ee3cf50f369bce972a9d,cray-sles15-zen2
parmetis,4.0.3,cce@12.0.1,~gdb~int64~ipo+shared build_type=RelWithDebInfo patches=4f892531eb0a807eb1b82e683a416d3e35154a455274cf9b162fb02054d11a5b,50ed2081bc939269689789942067c58b3e522c269269a430d5d34c00edbc5870,704b84f7c7444d4372cb59cca6e1209df4ef3b033bc4ee3cf50f369bce972a9d,cray-sles15-zen2
parmetis,4.0.3,gcc@10.2.0,~gdb~int64~ipo+shared build_type=RelWithDebInfo patches=4f892531eb0a807eb1b82e683a416d3e35154a455274cf9b162fb02054d11a5b,50ed2081bc939269689789942067c58b3e522c269269a430d5d34c00edbc5870,704b84f7c7444d4372cb59cca6e1209df4ef3b033bc4ee3cf50f369bce972a9d,cray-sles15-zen2
parmetis,4.0.3,gcc@10.3.0,~gdb~int64~ipo+shared build_type=RelWithDebInfo patches=4f892531eb0a807eb1b82e683a416d3e35154a455274cf9b162fb02054d11a5b,50ed2081bc939269689789942067c58b3e522c269269a430d5d34c00edbc5870,704b84f7c7444d4372cb59cca6e1209df4ef3b033bc4ee3cf50f369bce972a9d,cray-sles15-zen2
pcre,8.44,cce@12.0.0,~jit+multibyte+utf,cray-sles15-zen2
pcre,8.44,cce@12.0.1,~jit+multibyte+utf,cray-sles15-zen2
pcre,8.44,gcc@7.5.0,~jit+multibyte+utf,linux-sles15-x86_64
pcre,8.44,gcc@10.2.0,~jit+multibyte+utf,cray-sles15-zen2
pcre,8.44,gcc@10.3.0,~jit+multibyte+utf,cray-sles15-zen2
pcre2,10.36,cce@12.0.0,~jit+multibyte,cray-sles15-zen2
pcre2,10.36,cce@12.0.1,~jit+multibyte,cray-sles15-zen2
pcre2,10.36,gcc@7.5.0,~jit+multibyte,linux-sles15-x86_64
pcre2,10.36,gcc@10.2.0,~jit+multibyte,cray-sles15-zen2
pcre2,10.36,gcc@10.3.0,~jit+multibyte,cray-sles15-zen2
pdt,3.25.1,cce@12.0.0,~pic patches=113fca02f74cc49dc1add0f617a4bada116a999a1664598380e5e7652c8c231a,cray-sles15-zen2
pdt,3.25.1,cce@12.0.1,~pic patches=113fca02f74cc49dc1add0f617a4bada116a999a1664598380e5e7652c8c231a,cray-sles15-zen2
pdt,3.25.1,gcc@10.2.0,~pic,cray-sles15-zen2
pdt,3.25.1,gcc@10.3.0,~pic,cray-sles15-zen2
perl,5.32.1,cce@12.0.0,+cpanm+shared+threads,cray-sles15-zen2
perl,5.32.1,cce@12.0.1,+cpanm+shared+threads,cray-sles15-zen2
perl,5.32.1,gcc@7.5.0,+cpanm+shared+threads,linux-sles15-x86_64
perl,5.32.1,gcc@10.2.0,+cpanm+shared+threads,cray-sles15-zen2
perl,5.32.1,gcc@10.3.0,+cpanm+shared+threads,cray-sles15-zen2
perl-data-dumper,2.173,gcc@7.5.0,,linux-sles15-x86_64
perl-encode-locale,1.05,gcc@7.5.0,,linux-sles15-x86_64
perl-extutils-config,0.008,gcc@7.5.0,,linux-sles15-x86_64
perl-extutils-helpers,0.026,gcc@7.5.0,,linux-sles15-x86_64
perl-extutils-installpaths,0.012,gcc@7.5.0,,linux-sles15-x86_64
perl-file-listing,6.04,gcc@7.5.0,,linux-sles15-x86_64
perl-html-parser,3.72,gcc@7.5.0,,linux-sles15-x86_64
perl-html-tagset,3.20,gcc@7.5.0,,linux-sles15-x86_64
perl-http-cookies,6.04,gcc@7.5.0,,linux-sles15-x86_64
perl-http-daemon,6.01,gcc@7.5.0,,linux-sles15-x86_64
perl-http-date,6.02,gcc@7.5.0,,linux-sles15-x86_64
perl-http-message,6.13,gcc@7.5.0,,linux-sles15-x86_64
perl-http-negotiate,6.01,gcc@7.5.0,,linux-sles15-x86_64
perl-io-html,1.001,gcc@7.5.0,,linux-sles15-x86_64
perl-libwww-perl,6.33,gcc@7.5.0,,linux-sles15-x86_64
perl-lwp-mediatypes,6.02,gcc@7.5.0,,linux-sles15-x86_64
perl-module-build,0.4224,gcc@7.5.0,,linux-sles15-x86_64
perl-module-build-tiny,0.039,gcc@7.5.0,,linux-sles15-x86_64
perl-net-http,6.17,gcc@7.5.0,,linux-sles15-x86_64
perl-test-needs,0.002005,gcc@7.5.0,,linux-sles15-x86_64
perl-try-tiny,0.28,gcc@7.5.0,,linux-sles15-x86_64
perl-uri,1.72,gcc@7.5.0,,linux-sles15-x86_64
perl-www-robotrules,6.02,gcc@7.5.0,,linux-sles15-x86_64
perl-xml-parser,2.44,gcc@7.5.0,,linux-sles15-x86_64
petsc,3.15.0,gcc@10.2.0,~X+batch~cgns~complex~cuda~debug+double~exodusii~fftw~giflib+hdf5+hypre~int64~jpeg~knl~libpng~libyaml~memkind+metis~mkl-pardiso~moab~mpfr+mpi~mumps~p4est~ptscotch~random123~saws+shared~suite-sparse+superlu-dist~trilinos~valgrind clanguage=C,cray-sles15-zen2
